iter	Accuracy	Logloss
541	0.8534656313	0.3309089745
542	0.853178027	0.3308048704
543	0.8534656313	0.3306256823
544	0.8534656313	0.3305517475
545	0.8536094334	0.3303547469
546	0.8537532355	0.3302076736
547	0.8534656313	0.3300017689
548	0.8536094334	0.3299486178
549	0.8540408398	0.3298617522
550	0.8541846419	0.3297585248
551	0.8546160483	0.3296707405
552	0.8544722462	0.3295557351
553	0.8546160483	0.3295044353
554	0.8543284441	0.3294064924
555	0.8540408398	0.3292531643
556	0.8543284441	0.3291826829
557	0.8544722462	0.3290275177
558	0.8544722462	0.3290086683
559	0.8549036526	0.3288968927
560	0.8551912568	0.3287499531
561	0.8556226632	0.3286214188
562	0.8557664653	0.3285921089
563	0.8559102675	0.3284204603
564	0.8560540696	0.3283242951
565	0.8561978717	0.328258902
566	0.856485476	0.3280775654
567	0.8563416739	0.3279863365
568	0.8563416739	0.3279277202
569	0.8561978717	0.3277901428
570	0.8563416739	0.3276662416
571	0.856485476	0.3275382467
572	0.856485476	0.3275010096
573	0.8567730802	0.327360502
574	0.8567730802	0.3273309911
575	0.8567730802	0.3272788488
576	0.8574920909	0.3270471154
577	0.8574920909	0.3269554028
578	0.8573482888	0.3268004622
579	0.8572044866	0.3267868002
580	0.8572044866	0.3267033145
581	0.8572044866	0.3264848002
582	0.8570606845	0.3263995507
583	0.8570606845	0.3263638279
584	0.8572044866	0.3261589002
585	0.8574920909	0.3261289869
586	0.8580672994	0.3259611728
587	0.8583549037	0.3258150313
588	0.8583549037	0.3256937793
589	0.8579234973	0.3255946541
590	0.8584987058	0.3254372488
591	0.8590739143	0.3252826826
592	0.8592177164	0.3251992935
593	0.8584987058	0.3250353306
594	0.8589301122	0.3249783711
595	0.8590739143	0.3249566694
596	0.8589301122	0.3247994673
597	0.8589301122	0.324761232
598	0.8593615186	0.3246458739
599	0.8593615186	0.3246094593
600	0.8590739143	0.3245319404
601	0.8593615186	0.3244305436
602	0.8599367271	0.3242603862
603	0.8599367271	0.3241396255
604	0.8600805292	0.3241229949
605	0.8599367271	0.3240215574
606	0.8599367271	0.32393024
607	0.8603681334	0.323757906
608	0.8602243313	0.3237127968
609	0.8597929249	0.3235677351
610	0.8603681334	0.3234170839
611	0.8605119356	0.3233209712
612	0.8605119356	0.3232754607
613	0.8605119356	0.323254937
614	0.860943342	0.3230761898
615	0.860943342	0.3229132021
616	0.860943342	0.3227926251
617	0.8610871441	0.3227281289
618	0.8613747483	0.3226575885
619	0.8612309462	0.3225285058
620	0.8612309462	0.3224067255
621	0.8612309462	0.3223590202
622	0.8618061547	0.3221707531
623	0.8619499569	0.3219686741
624	0.8619499569	0.3218508872
625	0.8619499569	0.3218202498
626	0.8619499569	0.3217463987
627	0.8622375611	0.3216115311
628	0.8623813632	0.3214858634
629	0.8625251654	0.321447153
630	0.8625251654	0.3213575456
631	0.8625251654	0.3213362574
632	0.8623813632	0.3212369647
633	0.8623813632	0.3210376954
634	0.8625251654	0.320945047
635	0.8622375611	0.3208991661
636	0.8616623526	0.3205986102
637	0.8613747483	0.3203698961
638	0.8619499569	0.320233712
639	0.8616623526	0.3201824722
640	0.8613747483	0.3201088358
641	0.8615185505	0.3200507299
642	0.8613747483	0.3199636505
643	0.8615185505	0.3199471013
644	0.8616623526	0.319652948
645	0.8618061547	0.3195066164
646	0.8618061547	0.3194174759
647	0.8619499569	0.319236992
648	0.862093759	0.3191343265
649	0.8622375611	0.3190409019
650	0.8622375611	0.3189803836
651	0.862093759	0.3188760944
652	0.862093759	0.318779485
653	0.8623813632	0.3186438361
654	0.8625251654	0.3184765758
655	0.8625251654	0.3183951653
656	0.8626689675	0.3182961904
657	0.8628127696	0.3182568555
658	0.8631003739	0.3182285993
659	0.8631003739	0.3181652986
660	0.8629565718	0.3180621257
661	0.8631003739	0.3179523627
662	0.8631003739	0.3177975083
663	0.8629565718	0.3177611118
664	0.8629565718	0.3176834784
665	0.8628127696	0.3176111089
666	0.8641069888	0.3173363848
667	0.864394593	0.3172380541
668	0.8642507909	0.3172082706
669	0.8642507909	0.3170151298
670	0.8646821973	0.3169637436
671	0.864394593	0.3168973594
672	0.864394593	0.3167445635
673	0.8641069888	0.3166565023
674	0.8639631867	0.3166111591
675	0.8639631867	0.3165061014
676	0.8641069888	0.3164067678
677	0.8639631867	0.316346747
678	0.8641069888	0.3162369522
679	0.864394593	0.3159784262
680	0.8645383952	0.3159011995
681	0.8646821973	0.3158494427
682	0.8646821973	0.3157177584
683	0.864394593	0.3155742378
684	0.8646821973	0.3155168271
685	0.8648259994	0.3154344679
686	0.8649698016	0.3152652831
687	0.8651136037	0.3152080603
688	0.8651136037	0.3151905342
689	0.8651136037	0.3151502294
690	0.8658326143	0.3150777823
691	0.8658326143	0.3150108188
692	0.8658326143	0.3149021928
693	0.8659764165	0.3148239006
694	0.8661202186	0.3148092357
695	0.866551625	0.3147480603
696	0.866551625	0.3146583186
697	0.8664078228	0.3145729976
698	0.866551625	0.3144368192
699	0.866551625	0.314309111
700	0.866551625	0.3142786673
701	0.866551625	0.3140961425
702	0.8662640207	0.3138878193
703	0.8662640207	0.3138788793
704	0.866551625	0.3137989703
705	0.866551625	0.3135577439
706	0.8664078228	0.3134557155
707	0.8664078228	0.3134403705
708	0.8662640207	0.3133561256
709	0.8662640207	0.3133321251
710	0.8662640207	0.3133117536
711	0.8662640207	0.313285133
712	0.8662640207	0.3132258786
713	0.8664078228	0.3131577974
714	0.8666954271	0.3130085554
715	0.8664078228	0.3129622896
716	0.8664078228	0.3128417327
717	0.8662640207	0.3127717416
718	0.8662640207	0.3126587948
719	0.866551625	0.3125684665
720	0.8666954271	0.3125088283
721	0.8669830313	0.3123249792
722	0.8668392292	0.312279457
723	0.866551625	0.3121758691
724	0.866551625	0.3120185055
725	0.8669830313	0.3119276954
726	0.8668392292	0.3117142908
727	0.8671268335	0.3116663661
728	0.8671268335	0.3116168329
729	0.8671268335	0.3114595819
730	0.8672706356	0.3113248425
731	0.8672706356	0.3112502922
732	0.8678458441	0.3111275162
733	0.867702042	0.3110546771
734	0.8679896462	0.3110174683
735	0.8685648548	0.3108232788
736	0.8687086569	0.3106510768
737	0.8687086569	0.3105889322
738	0.8687086569	0.310423215
739	0.868852459	0.3102138856
740	0.8691400633	0.3100999954
741	0.8692838654	0.3100475148
742	0.8692838654	0.3099894214
743	0.8697152718	0.3098290224
744	0.8698590739	0.3097033716
745	0.8702904803	0.3095293538
746	0.8702904803	0.3094818052
747	0.8702904803	0.3094708084
748	0.8701466782	0.3092830665
749	0.8704342824	0.3092410749
750	0.8704342824	0.3091864479
751	0.8702904803	0.3091509124
752	0.8701466782	0.309093947
753	0.8704342824	0.3089203442
754	0.8705780846	0.308803151
755	0.8714408973	0.3086851151
756	0.8710094909	0.3085794311
757	0.8710094909	0.3084343806
758	0.8707218867	0.3082892873
759	0.8710094909	0.3081718781
760	0.8711532931	0.3080886635
761	0.8712970952	0.3080097282
762	0.8714408973	0.3078572398
763	0.8712970952	0.3077468606
764	0.8710094909	0.3076042775
765	0.8712970952	0.3074790081
766	0.8711532931	0.3073054887
767	0.8714408973	0.3072222526
768	0.8715846995	0.3071482883
769	0.8714408973	0.307084604
770	0.8718723037	0.3069164186
771	0.8717285016	0.3067760716
772	0.8718723037	0.3067633539
773	0.872159908	0.3066732017
774	0.872159908	0.3063312913
775	0.8723037101	0.3062364394
776	0.8723037101	0.3061785687
777	0.8723037101	0.3061255169
778	0.8724475122	0.3060823524
779	0.8723037101	0.3059824095
780	0.8724475122	0.3059071047
781	0.8725913144	0.3058559702
782	0.8725913144	0.3057124282
783	0.8727351165	0.3056471461
784	0.8728789186	0.3055032422
785	0.8725913144	0.3054094157
786	0.8725913144	0.3052486455
787	0.8724475122	0.3051976035
788	0.8725913144	0.3051316273
789	0.8727351165	0.3049742395
790	0.8727351165	0.3048814786
791	0.8725913144	0.3047541301
792	0.8727351165	0.3045464896
793	0.8728789186	0.3044089964
794	0.8730227207	0.3043694237
795	0.8727351165	0.3042725174
796	0.8728789186	0.3042043944
797	0.873310325	0.3041153079
798	0.873310325	0.3040677625
799	0.8734541271	0.30395539
800	0.8734541271	0.3038284317
801	0.873310325	0.3037953977
802	0.873310325	0.3037577361
803	0.8735979292	0.3036568651
804	0.8737417314	0.3034664785
805	0.8740293356	0.303397155
806	0.8738855335	0.3033662688
807	0.8740293356	0.3033247513
808	0.8741731378	0.303303265
809	0.8740293356	0.3032339958
810	0.8738855335	0.3031940059
811	0.8743169399	0.3030511451
812	0.8741731378	0.3029258293
813	0.8738855335	0.302731017
814	0.8738855335	0.3026360308
815	0.8740293356	0.302589614
816	0.8741731378	0.3025329227
817	0.8738855335	0.3024071873
818	0.8740293356	0.3023902462
819	0.8741731378	0.3022740299
820	0.8741731378	0.3022338491
821	0.8743169399	0.3021936624
822	0.8741731378	0.3021060405
823	0.8741731378	0.3020941058
824	0.874460742	0.3020289137
825	0.874460742	0.3020152382
826	0.874460742	0.3019345104
827	0.8747483463	0.3018697666
828	0.874460742	0.3017016694
829	0.8741731378	0.3015493864
830	0.874460742	0.3014694936
831	0.8743169399	0.3012458243
832	0.8743169399	0.3011780876
833	0.874460742	0.3011110954
834	0.8746045441	0.3010580111
835	0.8747483463	0.3010165895
836	0.8746045441	0.3008792481
837	0.8746045441	0.3006903546
838	0.8747483463	0.3006782171
839	0.874460742	0.3006005192
